id,gameId,teamId,participantId,profileIcon,summonerName,championId,highestAchievedSeasonTier,spell1Id,spell2Id,assists,champLevel,combatPlayerScore,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,lane,role
1250535,1250326,200,9,22,CNB pbO,429,UNRANKED,4,7,6,18,0,2,0,0,0,0,0,1,0,19641,16875,0,3053,3153,1306,3085,3155,3139,3363,2,9,666,5,1,00:17:20,3269,2290,10076,12,1,11,0,0,308974,16640,12013,0,0,316579,19290,22174,6509,407,0,0,00:19:27,3,0,4336,360,85,5,0,5,19,25,1,JUNGLE,NONE
1250536,1250326,200,10,22,CNB Wos,412,UNRANKED,4,14,13,14,0,4,0,0,0,0,0,1,0,12191,10120,0,2049,2053,3401,3190,1057,1308,3364,1,2,0,2,1,00:13:32,16361,4378,10081,2,1,1,0,0,8868,765,13272,0,0,27069,5745,23577,5878,34,0,0,00:02:55,4,0,1839,602,223,0,0,14,10,56,1,JUNGLE,NONE
1250542,1250336,200,6,9,g3x Zantins,127,UNRANKED,12,4,8,18,0,3,1,0,0,1,0,0,0,17986,15925,0,3157,3089,3027,3158,3001,0,3363,2,8,0,6,3,00:15:32,261839,21177,7551,23,5,18,0,0,21911,1193,10537,0,0,284200,22620,18913,5716,336,0,0,00:09:28,1,1,450,250,824,2,0,3,12,19,1,TOP,SOLO
1250543,1250336,200,7,4,g3x Snowlz,60,UNRANKED,11,4,17,17,0,2,0,0,0,1,0,0,0,15047,13150,0,1410,3512,3742,3102,3009,0,3364,0,1,0,0,1,00:16:47,87537,11889,10752,77,6,71,0,0,28456,953,14237,0,0,131855,12842,25264,10004,114,0,0,00:04:49,1,0,15862,0,275,1,0,11,28,45,1,JUNGLE,NONE
1250544,1250336,200,8,657,g3x TaeYeon,110,UNRANKED,4,12,10,18,0,2,1,0,0,1,0,0,0,18022,16375,0,3036,3042,3072,3142,1333,3155,3363,1,4,0,4,2,00:31:36,9497,3113,12086,17,1,16,0,0,352036,32875,3952,0,0,361792,36197,16389,3741,377,0,0,00:10:42,1,0,260,208,350,2,0,1,10,13,1,MIDDLE,SOLO
1250545,1250336,200,9,12,g3x Skyer,429,UNRANKED,7,4,12,18,0,3,1,0,0,0,1,0,0,16682,15300,1,3085,3153,3072,3009,3036,3052,3363,1,5,600,5,2,00:33:18,4592,1305,10108,18,3,15,0,0,194224,18382,6478,0,0,201637,20647,16969,4514,291,0,0,00:11:12,4,0,2820,960,383,2,0,2,8,13,1,BOTTOM,DUO_CARRY
1250546,1250336,200,10,16,g3x Alocs,12,UNRANKED,4,14,17,15,0,2,0,0,0,1,0,0,0,13325,10975,0,1028,1308,3060,2303,0,3512,3364,0,1,0,0,1,00:06:13,16708,3892,19081,0,0,0,0,0,8694,1101,8830,0,0,30437,5493,28839,22308,105,0,0,00:02:25,65,0,5034,500,928,1,0,7,14,59,1,BOTTOM,DUO_SUPPORT
1260193,1260092,100,1,551,ITZ Yang,133,UNRANKED,4,12,5,18,0,2,0,0,0,0,0,0,1,22162,22950,0,1306,3031,3139,3094,3036,3053,3363,1,5,900,4,1,00:40:58,16508,1794,20342,10,1,9,0,0,444756,45296,18990,0,0,461264,47090,39744,8090,499,0,0,00:05:53,1,0,0,0,412,2,0,4,24,32,0,TOP,SOLO
1260194,1260092,100,2,550,ITZ Revolta,60,UNRANKED,4,11,7,18,0,1,0,0,0,0,0,0,0,18879,17150,0,3742,1409,3143,3111,3512,3075,3364,1,2,0,2,1,00:14:59,143478,11482,17384,99,18,81,0,0,44983,1646,24756,0,0,209013,13580,43965,15843,199,0,0,00:05:59,1,0,20551,451,1824,0,0,9,44,42,0,JUNGLE,NONE
1260195,1260092,100,3,552,ITZ tockers,26,UNRANKED,12,4,9,18,0,2,0,0,0,0,0,0,0,18536,16700,0,3001,3089,3135,3027,3165,3020,3363,0,2,0,0,1,00:15:22,303949,16338,10359,16,2,14,0,0,16188,706,8366,0,0,320162,17069,19152,2197,368,0,0,00:06:55,1,0,25,25,427,0,0,2,16,26,0,MIDDLE,SOLO
