id,gameId,teamId,championIdBan1,championIdBan2,championIdBan3,towerKills,baronKills,dominionVictoryScore,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,riftHeraldKills,vilemawKills,win
1400418,1400218,200,114,90,13,11,2,0,5,1,1,1,1,1,0,3,1,0,Win
1400431,1400231,200,13,44,203,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail
1400434,1400234,200,60,203,13,11,1,0,3,1,0,0,1,0,1,3,0,0,Win
1410151,1410051,100,26,201,50,7,1,0,3,1,0,1,1,1,1,2,1,0,Fail
1410159,1410059,100,432,76,421,2,0,0,0,0,0,0,0,0,1,0,0,0,Fail
1410164,1410064,100,105,203,34,10,1,0,4,1,1,1,1,0,0,2,0,0,Win
1410168,1410068,100,76,39,203,4,0,0,1,0,0,0,0,1,0,0,1,0,Fail
1410251,1410051,200,432,421,76,10,1,0,2,0,1,0,0,0,0,3,0,0,Win
1410259,1410059,200,26,50,8,9,1,0,3,1,1,1,1,1,0,2,1,0,Win
1410264,1410064,200,76,8,60,2,0,0,1,0,0,0,0,0,1,0,0,0,Fail
1410268,1410068,200,105,34,79,11,2,0,3,1,1,1,1,0,1,3,0,0,Win
1410377,1410277,100,60,13,114,3,0,0,0,0,1,0,0,0,0,0,0,0,Fail
1410379,1410279,100,50,79,15,3,0,0,2,0,0,1,0,0,0,0,0,0,Fail
1410388,1410288,100,39,34,201,7,1,0,3,1,1,1,0,0,0,0,0,0,Fail
1410392,1410292,100,15,48,8,10,2,0,4,1,0,0,1,0,1,1,0,0,Win
1410477,1410277,200,79,8,50,10,1,0,3,1,0,1,1,0,1,2,0,0,Win
1410479,1410279,200,13,201,8,10,2,0,3,1,1,0,1,1,1,2,1,0,Win
1410488,1410288,200,15,8,48,10,0,0,1,0,0,0,1,0,1,2,0,0,Win
1410492,1410292,200,39,201,50,5,0,0,1,0,1,1,0,1,0,0,1,0,Fail
1420188,1420088,100,432,201,8,9,1,0,2,1,1,1,1,0,1,1,0,0,Win
1420189,1420089,100,15,203,50,2,0,0,0,0,0,0,0,0,0,0,0,0,Fail
1420208,1420108,100,34,43,8,11,1,0,3,1,1,0,1,0,1,3,0,0,Win
1420214,1420114,100,44,202,13,8,2,0,5,1,0,0,1,0,0,3,0,0,Win
1420288,1420088,200,15,203,50,4,0,0,1,0,0,0,0,1,0,0,1,0,Fail
1420289,1420089,200,201,39,432,10,1,0,4,1,1,1,1,1,1,2,1,0,Win
1420294,1420194,100,8,34,143,3,0,0,1,0,0,0,0,0,0,0,0,0,Fail
1420302,1420202,100,420,29,201,4,0,0,1,0,1,0,0,1,1,0,1,0,Fail
1420308,1420108,200,13,44,50,2,0,0,2,0,0,1,0,1,0,0,1,0,Fail
1420314,1420114,200,8,421,50,4,0,0,1,0,1,1,0,1,1,0,1,0,Fail
1420316,1420216,100,105,203,34,11,1,0,4,1,1,1,1,1,1,2,1,0,Win
1420319,1420219,100,48,50,8,7,2,0,2,0,0,0,0,1,0,1,1,0,Fail
1420338,1420238,100,79,15,8,10,1,0,4,1,1,0,1,1,1,3,1,0,Win
1420348,1420248,100,39,98,34,5,2,0,2,0,0,0,0,0,0,1,0,0,Fail
1420363,1420263,100,44,50,8,11,2,0,2,1,1,0,1,0,1,5,0,0,Win
1420365,1420265,100,114,39,13,11,1,0,2,1,1,1,1,0,1,2,0,0,Win
1420386,1420286,100,39,50,268,2,0,0,1,0,0,0,0,0,0,0,0,0,Fail
1420393,1420293,100,34,8,143,10,2,0,3,1,0,0,0,0,1,3,0,0,Win
1420394,1420194,200,29,420,50,11,3,0,3,1,1,1,1,1,1,5,1,0,Win
1420402,1420202,200,8,34,143,10,2,0,5,1,0,1,1,0,0,2,0,0,Win
1420406,1420306,100,60,201,76,10,1,0,5,1,1,0,1,1,0,2,1,0,Win
1420411,1420311,100,203,34,29,10,1,0,4,1,1,1,1,0,1,1,0,0,Win
1420416,1420216,200,39,50,8,2,0,0,0,0,0,0,0,0,0,0,0,0,Fail
1420419,1420219,200,105,34,203,9,1,0,4,1,1,1,1,0,1,2,0,0,Win
1420438,1420238,200,39,34,48,1,0,0,1,0,0,1,0,0,0,0,0,0,Fail
1420448,1420248,200,79,15,8,10,1,0,3,1,1,1,1,1,1,3,1,0,Win
1420463,1420263,200,114,22,201,2,0,0,2,0,0,1,0,0,0,0,0,0,Fail
1420465,1420265,200,44,50,201,2,0,0,1,0,0,0,0,1,0,0,1,0,Fail
